protein_id	specie
HIN_024801	HI
HIN_031559	HI
HIN_033263	HI
HIN_034250	HI
HIN_035807	HI
HIN_036177	HI
HIN_038687	HI
HIN_040618	HI
HIN_043115	HI
HIN_043122	HI
HIN_046343	HI
HIN_049976	HI
HIN_055816	HI
HIN_061390	HI
HIN_068842	HI
HIN_074926	HI
HIN_080208	HI
HIN_082683	HI
HIN_084209	HI
HIN_084220	HI
HIN_086757	HI
HIN_098006	HI
HIN_099130	HI
HIN_015281	HI
HIN_021947	HI
HIN_022059	HI
HIN_022329	HI
HIN_026405	HI
HIN_036713	HI
HIN_038243	HI
HIN_055032	HI
HIN_055573	HI
HIN_056668	HI
HIN_058333	HI
HIN_058338	HI
HIN_062071	HI
HIN_066034	HI
HIN_068368	HI
HIN_078255	HI
HIN_090212	HI
HIN_090250	HI
HIN_092011	HI
HIN_021696	HI
HIN_023250	HI
HIN_028444	HI
HIN_030470	HI
HIN_032821	HI
HIN_034642	HI
HIN_038399	HI
HIN_038615	HI
HIN_038636	HI
HIN_038682	HI
HIN_050175	HI
HIN_050394	HI
HIN_050593	HI
HIN_055947	HI
HIN_075030	HI
HIN_075091	HI
HIN_081110	HI
HIN_086326	HI
HIN_086338	HI
HIN_095975	HI
HIN_009855	HI
HIN_010204	HI
HIN_010225	HI
HIN_014616	HI
HIN_024813	HI
HIN_044399	HI
HIN_051004	HI
HIN_055227	HI
HIN_057626	HI
HIN_057631	HI
HIN_066542	HI
HIN_066549	HI
HIN_066576	HI
HIN_069834	HI
HIN_069841	HI
HIN_069853	HI
HIN_071541	HI
HIN_071555	HI
HIN_071560	HI
HIN_071562	HI
HIN_085152	HI
HIN_085157	HI
HIN_085171	HI
HIN_086938	HI
HIN_086945	HI
HIN_086959	HI
HIN_100138	HI
HIN_013654	HI
HIN_000009	HI
HIN_002681	HI
HIN_002704	HI
HIN_013515	HI
HIN_022398	HI
HIN_022399	HI
HIN_022403	HI
HIN_022408	HI
HIN_022409	HI
HIN_022411	HI
HIN_022429	HI
HIN_022430	HI
HIN_022438	HI
HIN_022439	HI
HIN_022465	HI
HIN_022488	HI
HIN_024927	HI
HIN_032971	HI
HIN_045323	HI
HIN_045336	HI
HIN_048027	HI
HIN_056206	HI
HIN_056210	HI
HIN_056238	HI
HIN_056239	HI
HIN_056243	HI
HIN_056244	HI
HIN_056273	HI
HIN_056289	HI
HIN_062443	HI
HIN_065258	HI
HIN_065264	HI
HIN_065269	HI
HIN_065271	HI
HIN_065289	HI
HIN_065290	HI
HIN_065295	HI
HIN_065296	HI
HIN_065321	HI
HIN_065343	HI
HIN_076085	HI
HIN_079722	HI
HIN_095461	HI
HIN_100613	HI
HIN_100614	HI
HIN_015222	HI
HIN_015228	HI
HIN_029520	HI
HIN_077165	HI
HIN_094463	HI
HIN_000533	HI
HIN_054492	HI
HIN_061164	HI
HIN_090139	HI
HIN_100265	HI
HIN_017293	HI
HIN_017590	HI
HIN_017712	HI
HIN_017715	HI
HIN_020553	HI
HIN_027684	HI
HIN_037862	HI
HIN_037864	HI
HIN_041378	HI
HIN_047692	HI
HIN_047694	HI
HIN_047725	HI
HIN_048160	HI
HIN_049060	HI
HIN_049063	HI
HIN_049100	HI
HIN_049241	HI
HIN_049244	HI
HIN_049247	HI
HIN_052692	HI
HIN_052831	HI
HIN_052834	HI
HIN_056447	HI
HIN_056473	HI
HIN_058003	HI
HIN_058006	HI
