protein_id	specie
HIN_000946	hin
HIN_000949	hin
HIN_001010	hin
HIN_003700	hin
HIN_004192	hin
HIN_005675	hin
HIN_012841	hin
HIN_012900	hin
HIN_027554	hin
HIN_029996	hin
HIN_046671	hin
HIN_087291	hin
HIN_099156	hin
HIN_002875	hin
HIN_002876	hin
HIN_003737	hin
HIN_003765	hin
HIN_003828	hin
HIN_024610	hin
HIN_029959	hin
HIN_042357	hin
HIN_046469	hin
HIN_047873	hin
HIN_050787	hin
HIN_050838	hin
HIN_050877	hin
HIN_065797	hin
HIN_065820	hin
HIN_074895	hin
HIN_074898	hin
HIN_084180	hin
HIN_086485	hin
HIN_087731	hin
HIN_087779	hin
HIN_089641	hin
HIN_097437	hin
HIN_021453	hin
HIN_021466	hin
HIN_026360	hin
HIN_026377	hin
HIN_026381	hin
HIN_026399	hin
HIN_026401	hin
HIN_026403	hin
HIN_026744	hin
HIN_026793	hin
HIN_039243	hin
HIN_039256	hin
HIN_039269	hin
HIN_039289	hin
HIN_039291	hin
HIN_045828	hin
HIN_045855	hin
HIN_045857	hin
HIN_045872	hin
HIN_056066	hin
HIN_089950	hin
HIN_095724	hin
HIN_100488	hin
HIN_011082	hin
HIN_028146	hin
HIN_028176	hin
HIN_028177	hin
HIN_028196	hin
HIN_039681	hin
HIN_059127	hin
HIN_059515	hin
HIN_064950	hin
HIN_064957	hin
HIN_066499	hin
HIN_068349	hin
HIN_083926	hin
HIN_085029	hin
HIN_095000	hin
HIN_096034	hin
HIN_097051	hin
HIN_099843	hin
HIN_005005	hin
HIN_005010	hin
HIN_005032	hin
HIN_012392	hin
HIN_023134	hin
HIN_023138	hin
HIN_023152	hin
HIN_043988	hin
HIN_047352	hin
HIN_047363	hin
HIN_047373	hin
HIN_050834	hin
HIN_066905	hin
HIN_066910	hin
HIN_066916	hin
HIN_066920	hin
HIN_072301	hin
HIN_002733	hin
HIN_016667	hin
HIN_016669	hin
HIN_016673	hin
HIN_024965	hin
HIN_027413	hin
HIN_031416	hin
HIN_031421	hin
HIN_040216	hin
HIN_043341	hin
HIN_045377	hin
HIN_054342	hin
HIN_054344	hin
HIN_054557	hin
HIN_075663	hin
HIN_076732	hin
HIN_076735	hin
HIN_089227	hin
HIN_089765	hin
HIN_092419	hin
HIN_011997	hin
HIN_021503	hin
HIN_026791	hin
HIN_028528	hin
HIN_045830	hin
HIN_049171	hin
HIN_056028	hin
HIN_074644	hin
HIN_095726	hin
HIN_096556	hin
HIN_074146	hin
HIN_011365	hin
HIN_011372	hin
HIN_011399	hin
HIN_011410	hin
HIN_042957	hin
HIN_052256	hin
HIN_052267	hin
HIN_083403	hin
HIN_083412	hin
HIN_083415	hin
HIN_095263	hin
HIN_095265	hin
HIN_095266	hin
HIN_100071	hin
HIN_016248	hin
HIN_016250	hin
HIN_016252	hin
HIN_040643	hin
HIN_040644	hin
HIN_040645	hin
HIN_040649	hin
HIN_040651	hin
HIN_040655	hin
HIN_052376	hin
HIN_071205	hin
HIN_071206	hin
HIN_071207	hin
HIN_071213	hin
HIN_100893	hin
HIN_006584	hin
HIN_008134	hin
HIN_012542	hin
HIN_012979	hin
HIN_023127	hin
HIN_023130	hin
HIN_023136	hin
HIN_023143	hin
HIN_034129	hin
HIN_043979	hin
HIN_043985	hin
HIN_043993	hin
HIN_047369	hin
HIN_047380	hin
HIN_100062	hin
HIN_028265	hin
HIN_028326	hin
HIN_028336	hin
HIN_053021	hin
HIN_053030	hin
HIN_062214	hin
HIN_062225	hin
HIN_080788	hin
HIN_080797	hin
HIN_082117	hin
HIN_090090	hin
HIN_090091	hin
HIN_021499	hin
HIN_021500	hin
HIN_021502	hin
HIN_021519	hin
HIN_056015	hin
HIN_056029	hin
HIN_056031	hin
HIN_056033	hin
HIN_056035	hin
HIN_056037	hin
HIN_074639	hin
HIN_074641	hin
HIN_074642	hin
HIN_087562	hin
HIN_041886	hin
HIN_041893	hin
HIN_058668	hin
HIN_058699	hin
HIN_058700	hin
HIN_069809	hin
HIN_071583	hin
HIN_072126	hin
HIN_082177	hin
HIN_082178	hin
HIN_082192	hin
HIN_082193	hin
HIN_085128	hin
HIN_097047	hin
HIN_041878	hin
HIN_041879	hin
HIN_041911	hin
HIN_058649	hin
HIN_072081	hin
HIN_072082	hin
HIN_072132	hin
HIN_074447	hin
HIN_074462	hin
HIN_082215	hin
HIN_096234	hin
HIN_096235	hin
HIN_051678	hin
HIN_051705	hin
HIN_022302	hin
HIN_022305	hin
HIN_036684	hin
HIN_036685	hin
HIN_056563	hin
HIN_056564	hin
HIN_066725	hin
HIN_066754	hin
HIN_077269	hin
HIN_077278	hin
HIN_078090	hin
HIN_078097	hin
HIN_072560	hin
HIN_080310	hin
HIN_097243	hin
HIN_098023	hin
HIN_036301	hin
HIN_036304	hin
HIN_076189	hin
HIN_078878	hin
HIN_089045	hin
HIN_089047	hin
HIN_089049	hin
HIN_062534	hin
HIN_096882	hin
HIN_021225	hin
HIN_057325	hin
HIN_022290	hin
HIN_022309	hin
HIN_036668	hin
HIN_036693	hin
HIN_056188	hin
HIN_056191	hin
HIN_056193	hin
HIN_056195	hin
HIN_056558	hin
HIN_056581	hin
HIN_049240	hin
HIN_049243	hin
HIN_049246	hin
HIN_058004	hin
HIN_092918	hin
HIN_092921	hin
HIN_092924	hin
HIN_099324	hin
HIN_099327	hin
HIN_099330	hin
HIN_099332	hin
HIN_034287	hin
HIN_034288	hin
HIN_057102	hin
HIN_069923	hin
HIN_069924	hin
HIN_069925	hin
HIN_077931	hin
HIN_077932	hin
HIN_001920	hin
HIN_015611	hin
HIN_029627	hin
HIN_029628	hin
HIN_022177	hin
HIN_033987	hin
HIN_036742	hin
HIN_036744	hin
HIN_036771	hin
HIN_036806	hin
HIN_045418	hin
HIN_045448	hin
HIN_045505	hin
HIN_100800	hin
HIN_011586	hin
HIN_011589	hin
HIN_058981	hin
HIN_058984	hin
HIN_094773	hin
